,,,,,,,,
,Narex Boring and Facing Head Price List 2025,,,,,,,
,,,,,,,,
Vhu A (single head in pasteboard packing),,, List excluding GST ,,,,,
" 208,619    ","VK801 Mk5 VV (3/4""-10UNC)",," $1,050.00 ",,,,,
" 208,626    ",VK801 Mk6 DIN 1806,," $1,189.00 ",,,,,
" 208,633    ",VK801 Mk6-M20 DIN 228A,," $1,050.00 ",,,,,
" 208,640    ",VK801 Mk6-M24 DIN 228A,," $1,050.00 ",,,,,
" 208,671    ",VK801 Mk6 VV (M24),," $1,297.00 ",,,,,
" 208,688    ","VK801 Mk6 VV (1""-8UNC)",," $1,297.00 ",,,,,
" 208,695    ",VK801 ISO 40-M16 DIN 2080,, $761.00 ,,,,,
" 208,701    ","VK801 ISO 40-5/8""-11UNC",, $749.00 ,,,,,
" 208,718    ",VK801 ISO 40-M16 DIN 69871,, $970.00 ,,,,,
" 208,725    ",VK801 ISO 50-M24 DIN 2080,, $907.00 ,,,,,
" 208,732    ","VK801 ISO 50-1""-8UNC",, $907.00 ,,,,,
" 208,749    ",VK801 ISO 50-M24 DIN 69871,," $1,109.00 ",,,,,
" 208,756    ",VK801 MAS-BT 40-M16,, $970.00 ,,,,,
" 208,763    ",VK801 MAS-BT 50-M24,," $1,059.00 ",,,,,
" 208,770    ","VK801 CAT 40-5/8""-11UNC",," $1,014.00 ",,,,,
" 208,787    ","VK801 CAT 50-1""-8UNC",," $1,050.00 ",,,,,
"VK360 - shanks for Vhu 36, Vh70, Vhs 5-50, Vhs 10-125",,,,,,,,
"VK801 - shanks for Vhu 56 až Vhu 160, Vh110, Vh140, Vhs 40-180, VK800  shanks only for Vhu 56",,,,,,,,
