sku,product_name,unit_price,unit_of_measure,stock_status,discount_1,discount_2,net_price,supplier_name
A0028.8,Jobber Drills,20.39,10,Stocked,0.68,0,6.52,Dormer
A0028.9,Jobber Drills,21.84,10,Stocked,0.68,0,6.99,Dormer
A0029.0,Jobber Drills,20.19,10,Stocked,0.68,0,6.46,Dormer
A0029.1,Jobber Drills,21.84,10,Stocked,0.68,0,6.99,Dormer
A0029.2,Jobber Drills,23.18,10,Stocked,0.68,0,7.42,Dormer
A0029.3,Jobber Drills,22.35,10,Stocked,0.68,0,7.15,Dormer
A0029.4,Jobber Drills,23.38,10,Stocked,0.68,0,7.48,Dormer
A0029.5,Jobber Drills,21.84,10,Stocked,0.68,0,6.99,Dormer
A0029.6,Jobber Drills,24.0,10,Stocked,0.68,0,7.68,Dormer
A0029.7,Jobber Drills,25.03,10,Stocked,0.68,0,8.01,Dormer
A0029.8,Jobber Drills,25.24,10,Stocked,0.68,0,8.08,Dormer
A0029.9,Jobber Drills,25.85,10,Stocked,0.68,0,8.27,Dormer
A0029/16,Jobber Drills,71.07,1,Stocked,0.68,0,22.74,Dormer
A0029/32,Jobber Drills,13.6,10,Stocked,0.68,0,4.35,Dormer
A0029/64,Jobber Drills,5.51,10,Stocked,0.68,0,1.76,Dormer
A002S1/2,Jobber Drills,49.03,1,Non-stocked,0.68,0,15.69,Dormer
A002S1/4,Jobber Drills,10.51,1,Stocked,0.68,0,3.36,Dormer
A002S1/8,Jobber Drills,9.12,1,Non-stocked,0.68,0,2.92,Dormer
A002S10.0,Jobber Drills,25.13,1,Stocked,0.68,0,8.04,Dormer
A002S10.2,Jobber Drills,31.93,1,Stocked,0.68,0,10.22,Dormer
A002S10.5,Jobber Drills,32.45,1,Stocked,0.68,0,10.38,Dormer
A002S11.0,Jobber Drills,37.18,1,Stocked,0.68,0,11.90,Dormer
A002S11.5,Jobber Drills,39.76,1,Stocked,0.68,0,12.72,Dormer
A002S12.0,Jobber Drills,43.16,1,Stocked,0.68,0,13.81,Dormer
A002S12.5,Jobber Drills,47.28,1,Stocked,0.68,0,15.13,Dormer
A002S13.0,Jobber Drills,51.4,1,Stocked,0.68,0,16.45,Dormer
A002S13/64,Jobber Drills,8.55,1,Non-stocked,0.68,0,2.74,Dormer
A002S2.0,Jobber Drills,8.09,1,Stocked,0.68,0,2.59,Dormer
A002S2.5,Jobber Drills,9.12,1,Stocked,0.68,0,2.92,Dormer
A002S3.0,Jobber Drills,9.12,1,Stocked,0.68,0,2.92,Dormer
