product_name,supplier_name,sku,unit_price
1.6mm Large Range Angle Faced Dial Test Indicator,Master 01 Apr,,
50mm Dial Test Indicator Holder,Master 01 Apr,,
100mm Dial Test Indicator Holder,Master 01 Apr,,
F8X115mm Dial Test Indicator Holder,Master 01 Apr,,
Dial Test Indicator Universal Holder,Master 01 Apr,,
Centering Holder Dial Test Indicator,Master 01 Apr,,
10mm Indicator Contact Point,Master 01 Apr,,
"1"" Indicator Point Extension",Master 01 Apr,,
"2"" Indicator Point Extension",Master 01 Apr,,
"3"" Indicator Point Extension",Master 01 Apr,,
25mm Indicator Point Extension,Master 01 Apr,,
"4"" Indicator Point Extension",Master 01 Apr,,
50mm Indicator Point Extension,Master 01 Apr,,
60mm Indicator Contact Point,Master 01 Apr,,
70mm Indicator Contact Point,Master 01 Apr,,
75mm Indicator Point Extension,Master 01 Apr,,
100mm Indicator Point Extension,Master 01 Apr,,
7.3mm Indicator Ball Point Extension,Master 01 Apr,,
2.5mm Indicator Ball Point Extension,Master 01 Apr,,
4mm Indicator Ball Point Extension,Master 01 Apr,,
10mm Indicator Spherical Point Extension,Master 01 Apr,,
15mm Indicator Needle Point Extension,Master 01 Apr,,
17 mm Indicator Contact Point,Master 01 Apr,,
7.3mm Indicator Knife Edge Point Extension,Master 01 Apr,,
"0.4mm Blade Point, Steel",Master 01 Apr,,
0.6 mm Indicator Contact Point,Master 01 Apr,,
"1mm Blade Point, Steel",Master 01 Apr,,
 Indicator Contact Point,Master 01 Apr,,
Set of 6 Indicator Contact Point,Master 01 Apr,,
53mm Lug And Flat Back Plate,Master 01 Apr,,
53mm Lug And Flat Back Plate,Master 01 Apr,,
40mm Lug And Flat Back Plate,Master 01 Apr,,
Lug Back For Mechanical Dial Gauge Diameter 58Mm,Master 01 Apr,,
"10mm Extension Rod, Steel",Master 01 Apr,,
50kgf Magnetic Stand,Master 01 Apr,,
80kgf Magnetic Stand,Master 01 Apr,,
100kgf Magnetic Stand,Master 01 Apr,,
10mm Dial Indicator & Magnetic Stand with Fine Adjustment,Master 01 Apr,,
12-Piece Measuring Tools Set,Master 01 Apr,,
3 Piece Measuring Tool Set,Master 01 Apr,,
6-Piece Welding Gauge Set,Master 01 Apr,,
"1"" Dial Indicator & Magnetic Stand with Fine Adjustment",Master 01 Apr,,
12-Piece Measuring Tools Set,Master 01 Apr,,
"1"" Indicator With Flex Arm Locking Plier Base",Master 01 Apr,,
3-Piece Measuring Tool Set,Master 01 Apr,,
Magnetic Stand with Fine adjustment,Master 01 Apr,,
Magnetic Stand,Master 01 Apr,,
280 mm / 100 kgf Magnetic Stand,Master 01 Apr,,
Magnetic Stand Base,Master 01 Apr,,
100kgf Magnetic Stand with Fine adjustment,Master 01 Apr,,
410 mm / 130 kgf Magnetic Stand,Master 01 Apr,,
310mm Universal Magnetic Stand,Master 01 Apr,,
Universal Magnetic Stand,Master 01 Apr,,
520mm Universal Magnetic Stand,Master 01 Apr,,
410mm Universat Magnetic Stand,Master 01 Apr,,
305mm Fine Adjustment Vacuum Stand,Master 01 Apr,,
80kgf Flex Arm Magnetic Stand,Master 01 Apr,,
Mini Universal Magnetic Stand,Master 01 Apr,,
335mm Fine Adjustment Universal Stand On Tee Slot Base,Master 01 Apr,,
